Check SMILES for genmols_S1_init.csv:

RNN_0000260, CCOCC(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115247, C=C(C)CNc1ncccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115306, CC(=O)N(C)CCOC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115381, COc1cc(C=O)ccc1OC(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115382, c1ccc(CCN2CCNCC2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115444, NC1CC(O)COc2ccccc2O1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115462, COC(C)C(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115488, COc1cc(-c2cnc(C)n2C)ccc1Nc1cc2cc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2c(-c2ccc(C)cc2OC)c1-c1ccc(C(C)(C)O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115492, CCc1ccc(C(=O)NC2CC2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115571, COCC(CNCc1ccc(CNC(=O)c2ccc(CCc3ccc4nc(Nc5ccc(C(=O)N6CC(F)C6)cc5OC)n(CC5CCCC5)c4n3)cc2)cc1)c1ccc(OC)cc1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115788, CCc1cccc(CC)c1NC(=O)c1cc(-c2nc(Nc3ccc(N4CCC(N5CCN(CC(=O)N6CCN(C)CC6)CC5)CC4)cc3OC)nc3[nH]ccc23)n(C)n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0115945, NCC1NC(CO)C(O)C1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116038, C=CCC(CC(N)=O)NC(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116159, CCC(N)C(=O)N(C)CCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116196, NCc1cccc2ccccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116201, COCC12COCC1CN(C)C2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116330, NC1CC(C(=O)NCC2CC2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116448, CNc1ncc(C(N)=O)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116479, O=C(CNC(=O)c1ccc(-c2ccc(N3CCC4(CC3)OCCO4)cc2)cc1)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)N5CCOCC5)cc4OCC(F)(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116482, N#Cc1cccc2cnccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116588, COc1cc(C(=O)NNC(=O)Nc2ccc3c(c2)OCO3)ccc1Nc1nc(CCc2ccccc2)ccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccc(Cl)cc4)cc3)cn2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116635, NC(CO)Cc1ccccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116652, COc1cc(CNC(=O)c2cc(NC(=O)c3ccc(F)cc3)cnc2Cl)ccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3OC)cc2n1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116682, CC(C)CC[N+](C)(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116753, CCc1ccc(C(C)=O)cc1C=NO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116754, CC(C)c1cccc(CCCO)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116904, CCC(N)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116975, CCc1ccccc1CC(O)CN, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0116981, CC(C)c1nccn1CC(CO)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117026, NS(=O)(=O)c1cc(NC(NCC(F)(F)Br)C(F)(F)F)ccc1Nc1cc2cc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2c(-c2ccc(Cl)cc2)c1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117226, CCc1cccc2c1OCC(NC)C2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117353, CCc1cccc(N(C)C)c1OC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117687, CC(N)C(=O)Nc1ccc(Cl)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117704, CC[N+](C)(CC)CCOC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117705, CN=C(NC)SCCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117872, Cc1cc(C(=O)NCCF)ccn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117914, CC1CCC(C(F)(F)F)CC1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0117924, C=CCc1ccccc1OC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118062, N#Cc1ccccc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118139, Cc1cc(-c2cn3c(-c4cc(NCC5CCOC5)c(C(=O)NCC(F)(F)F)cc4)cnc3c(OCC(F)(F)F)n2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118176, CC1NC(C)(C)CO1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118402, CN1CCN(CC2CC2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118478, CC(CCC(N)=O)C(=O)NC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118508, CCOc1cc(NC(C)CCCNC(=O)c2ccc3nc(Nc4ccc(C(=O)N5CC(C)CCC5)cc4OCC(F)(F)F)nn3c2)cc2cc(-c3ccc(C=CC(=O)NO)cc3)ccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118552, CCOC(=O)C(C)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118565, O=C(NCCC(F)(F)F)C1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118892, N#CC1CCC(N2CCOCC2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0118924, Nc1nc(OCCO)c2[nH]cnc2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119205, CON=C(C)C(C)N1CCOCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119283, COCC1CNc2ccncc2C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119334, CCN1CCNC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119378, CNc1nccc2cc(C#N)cnc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119395, O=NN1CC(O)CO1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119559, COC(=O)C(C)(C)C(O)(Cc1ccc([S+]([O-])c2ccc(-c3ccc(F)cc3)cc2)cc1)Oc1ccc(C(=O)N2Cc3ccc(C4CCOCC4)cc3OCC2O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119662, c1ccc(-c2cn[nH]c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119715, COc1cc(-c2[nH]ncc2C=NNC(=O)c2cccnc2OC)ccc1CNc1cc2nc(-c3ccc(C)c(C)c3)cn2c(-c2ccccc2)c1-c1ccc2ncccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119751, COCC1CNC(C)(C)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119758, COc1cc(-c2cnn(CCN3CCN(C)CC3)c2)ccc1Nc1cc2nc(-c3cnn(C)c3C)cn2c(-c2ccc(C(=O)NCC(F)(F)F)cc2)c1-c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119778, CC(CN(C)C)C1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119874, COCC1CC2COCCN2C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119907, C=C(C)CNc1ccnc2[nH]ccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0119959, CC(N)Cc1ccc(F)cc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120104, C#CC1(C)CCC2CC1OC2C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120147, CC(C)(CCO)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120367, CN1OCC23CC4CC(CC(C4)C12)C3, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120369, OCCNCC1CCOC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120540, Cn1cc(C2=CCOCC2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120553, COC1CNC(C(=O)N(C)C)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120653, CNCCN(C)S(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120662, CCn1c(-c2ccccc2)cnc1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120667, CCOC1CCN(CC)C1=S, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120777, O=C(NC1CC1)c1cc(-c2nc(Nc3ccc(N4CCN(CC(=O)N5CCN(CC(=O)NNC(=O)CCCCCCC(=O)NCNC(=O)CCCF)CC5)CC4)cc3)nc3sccc23)ncc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0120834, N#Cc1c(F)ccc2c1NCCN2C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121000, NCCNC1CC1c1ccccc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121007, O=CNC1CCOC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121047, N#Cc1cccc(OC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121178, COc1ccc(C=CCO)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121199, CCNC(=O)NOC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121257, COc1nc(-c2cnc3c(NCCCN(C(C)C)C(C)=O)nc(Oc4cc(F)ccc4F)nc-3n2)ccc1Nc1cc2cc(-c3cnn(CC(C)(C)O)c3)ccc2cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121413, N#CCCN(C(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(C(=O)c1ccccc1F)C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121527, CCOC(=O)C1(C)CCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121618, CS(=O)(=O)Cc1ccc(-c2cnn(CC(O)C(F)(F)F)c2)cc1CCc1ccc(-c2ccc3nc(Nc4ccc(C(=O)NC5CC5)cc4OCC(F)(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121655, NCCCCCN1CCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121657, N#CC1Cc2ccccc2C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121697, Cc1cc(-c2ccc3nc(Nc4ccc(S(C)(=O)=O)cc4OCC(F)(F)F)nn3c2)cc(F)c1Cc1cc2cc(-c3ccc(C(=O)NC4CC4)cc3)cn2c(n1)c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121811, COc1ccc(S(=O)(=O)N2CCCC2)cc1NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121840, C1=C2CCC1CC1CNCC2C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0121862, O=C1NCc2ncccc21, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122053, NCCC(CF)c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122059, c1ccc2c(c1)CCC1CCCCC21, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122090, O=C(c1ccc(-c2ccc3nc(Nc4ccc(C(F)(F)F)cc4OCC(F)(F)F)nn3c2)cc1)Nc1ccc(-c2ccc3nc(Nc4ccc(F)cc4OC(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122323, Cc1cn(C)c(C(=O)NCCO)c1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122348, CCCN(C)C(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122370, NCCS(=O)(=O)NC1CCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122454, COc1cc(C(=O)NCCO)ncn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122479, CCn1cc(-c2ccccc2)nn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122546, CCOc1coc(C(C)(C)C)n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122578, CCC1(O)C(O)N(C)C(C)(C)C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122673, Cc1cccc(C(=O)NC(C)(C)C)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122723, Cc1c(-c2ccc(C(N)=O)c3[nH]c4ccccc4c23)cccc1NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCC5CC5)cc4)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0122878, C[S+]([O-])CCCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123104, CSCCCN1CCOCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123111, C#CCNCc1ccc(F)c(C)c1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123275, O=C(NCCO)c1ccco1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123439, CC(C)CC(N)C(=O)NCCO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123499, COc1c(C)cnn(CC(C)C)c1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123519, Nc1ncnc2c1cnn2C(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123525, CN1CCC2(O)CCCN2C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123614, CC(C)CNc1cccnc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123822, CCCCC(NC(=O)c1cnc(Oc2ccc(NC(=O)C3CC3)cc2)cn1)c1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCC(F)(F)F)cc4OC)nc3[nH]2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0123864, CN(C)c1ccn(CC(N)CO)c1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124004, Cc1ccc(C(=O)NCCO)cc1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124032, CN1CCN(CCCF)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124122, CC(C)CNc1cnccc1C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124134, CN(C)CC(=O)NC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124387, O=C(NO)C1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124726, CCN1CCN(C(C)CO)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124810, CC1Oc2ccccc2NC1=S, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124884, CC(N(C)C)C1CCCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0124946, COC1C(O)C(OC2C(C)OC(OC3C(C)OC(C)(C)OO3)OCC2OC2OC(C)(C)OC2C2OC(CC(N)CBr)C(O)C2O)C1(C)OC1OC(CO)C(O)C(O)C1O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125235, Cc1cc(N)nc(C)c1CCN(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125245, O=NN1CCc2ccccc21, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125257, Cn1cc([S+](C)[O-])cc1CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125262, c1ccc2c(c1)NCCNC2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125360, COc1cc(S(C)(=O)=O)ccc1Nc1nc2ccc(-c3ccc(NC(=O)C(NC(=O)C(C)(C)C)c4cc(NCC(F)(F)F)ccc4OCC(F)(F)F)cc3)cn2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125361, CC(C)C(Nc1cc(NCc2ccc(F)cc2)cc2c1OCC(O)CC2)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OC(C)C)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125432, Brc1ccc2[nH]ccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125436, COc1cc(C2=C(N)OC3=C2OCc2cc(OCCCCN4CCOCC4)ccc23)ccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125467, CC(NS(=O)(=O)C(F)(F)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)Cc5ccc(F)cc5)cc4)cn3n2)c(OC(F)F)c1)C(C)(O)c1ccccc1Cl, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125474, CN1CC(C(=O)N2CCC(O)C2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125575, COCC(=O)N(C)CC1CCOC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125613, CCOC(O)=C(C)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125700, CCCc1ncc(C(C)C)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125734, CC(C(=O)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)N5CCCC5)cc4OCC(F)(F)F)nn3c2)cc1)c1ccc2c(-c3cccc(C(F)(F)F)c3)cncc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125828, CC(c1cccs1)N(C)CC(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0125944, CCOCCNC(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126392, CNC(Cc1ccc(F)cc1)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126486, CCCC(NC(C)=O)C(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126580, O=c1ccn(CCF)c(=O)[nH]1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126641, NCCC(CN)c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126693, CC(N)C(=O)NC(C)(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126720, CCC(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126756, CC(CN1CCOCC1)N(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0126919, O=CNc1ccc(F)cc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127185, CN1CSCC1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127291, N#CCC(O)Cn1ccccc1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127440, CNc1ncnc2c1cnn2C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127593, CCOCC(O)CNC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127612, COc1cc(-c2cnc(C)n2C)ccc1Nc1cc2cc(-c3ccc(NC(=O)C(C)c4ccc(F)cc4)cc3)cn2c(-c2ccc(C(=O)NCc3ccc(F)cc3)cc2)c1CN, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127630, CC1CN(C(=O)c2ccc(-c3nc(Nc4ccc(N5CCC(O)(C(=O)N6CCN(C)CC6)CC5)cc4OCC(F)(F)F)nc(Nc4ccc(-c5ccncn5)cc4)c3)cn2)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127668, COCC(=O)N(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127727, N#Cc1ccccc1[O-], Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127750, COCCS(N)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127771, CC(CC(=O)Nc1cc(Cl)c(C(F)(F)F)cc1C(F)(F)F)c1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCCC(F)(F)F)cc4Cl)ncc3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127784, CCN(C)C(C)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127787, Sc1nnc(-c2ccco2)o1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127810, N=C(N)NCCCC(NC(=O)C(c1ccccc1)c1ccccc1)c1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCC(F)(F)F)cc4Cl)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127840, CC1Oc2ncccc2C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127854, N#Cc1c2c(nc3ccccc13)CCC2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127879, CN(N)CCc1ccc(Cl)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127901, c1ccc(Nc2c[nH]cn2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0127927, CCc1ccc([S+](N)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128105, CCOC(O)=C1CCC=C(CO)C1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128187, NCCCCCNS(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128266, CCCCCCCCCCC1CO1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128289, O=C(Nc1ccc(-c2ccc3nc(Nc4ccc(CN5CCN(C(=O)C(N)Cc7ccccc7)CC5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(c1ccccc1)c1ccccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128337, CC(=O)Nc1ccc(C(=O)NO)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128395, CC#CC(C)(C)O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128401, COc1cccc(CN)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128414, CNCCNC1CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128454, CCNC1CCc2ccccc2C1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128523, O=C(Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCCC(F)(F)F)cc4OCC(F)(F)F)nn3c2)cc1)C(C(=O)NCC1CCCO1)c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128565, O=C(Cc1ccc2[nH]c(Nc3ccc(Oc4ccc(F)cc4Cl)cc3)nc2c1)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCCCF)cc4)cn3n2)c(OC(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128661, CN=C(NC)Cc1ccc(C)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128723, CC1(C)CNc2cc3c(cc21)NCC3, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128905, N#Cc1ccc2ccccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0128957, Cc1c(NC2CCCCC2)cnn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129032, CC(C)Nc1ncnn2cccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129109, CC[N+](C)(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129117, Cc1nnc([S+](C)[O-])[nH]1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129331, CCOc1cc(Cl)cn(C)c1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129369, Cc1ccc(S(C)(=O)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129541, COc1cc(C(C)(C)O)ccc1Nc1nc2ccc(-c3ccc(F)cc3)cc2n1-c1cc(OC(F)(F)F)ccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccc(F)cc4)cc3)cn2n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129792, CC(NC(=O)c1ccc(Nc2nc3ccc(-c4ccc(NC(=O)C(C)c5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1)C(O)(Cn1cncn1)c1ccc(F)cc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0129801, Fc1ccc(C2=NCCO2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130047, CCOCCn1nccc1C=NO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130161, COCC12COCC1COCC=C2, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130301, CCc1ncc(C(=O)NC2CC2)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130303, CCN=CN1CCC(O)CC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130305, CC(=O)Nc1ccc2ccccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130309, CCn1cc(-c2nc(C)cn2C)nn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130373, O=C(NC1CC1)c1ccc(-c2cnc3c(NCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCO)nc(-c4ccccc4)cn23)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130500, CCn1c(C)cnc(OC)c1=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130501, COCCn1ncc2c1CCCN2C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0130573, CCOc1n[nH]c2cc(OC)ccc12, Failed because unsuitable MW, only MW in range [200, 800] will be remained
